Observation #,Code,Food name in English,Nom d’aliment en français,"Weight of ingredients (edible portion, raw) / Poids des ingrédients (parte comestible, cru) (g)",Yield factor / Factor de rendement,Method,Méthode
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",250.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,888.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",101.0,,,
,13_014,"Pepper, black","Poivre, noir",0.76,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",96.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",109.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",25.0,,,
3,01_159,"Moui nin kalogo (Burkina Faso)*: rice with fish, onion and fermented African locust beans","Moui nin kalogo (Burkina Faso)*: riz avec poisson, oignon et néré fermenté",,0.866154253909356,Fry the fish and then the onion cut into strips. Add the water and other ingredients and let it boil. Add the rice and cook until done.,"Faire frire le poisson, puis l’oignon coupé en rondelles. Ajouter l’eau et les autres ingrédients et laisser bouillir. Ajouter le riz et laisser cuire complètement."
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",550.0,,,
,13_015,Salt,Sel,10.0,,,
,12_019,"Water, tap",Eau du robinet,1130.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",47.0,,,
,13_014,"Pepper, black","Poivre, noir",0.5,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",53.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",81.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",10.0,,,
1,01_175,Pigri (Burkina Faso)*: steamed pearl millet balls,Pigri (Burkina Faso)*: boules de mil à chandelle cuites à la vapeur,,0.43137254901960786,Mill the millet. Add the water and potash and let rest. Form into a ball and steam until cooked.,Moudre le mil. Ajouter l’eau et la potasse et laisser reposer. Former une boule et cuire à la vapeur.
,01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru",300.0,,,
,13_024,"Potash, solid","Potasse, solide",5.0,,,
,12_019,"Water, tap",Eau du robinet,1225.0,,,
2,01_175,Pigri (Burkina Faso)*: steamed pearl millet balls,Pigri (Burkina Faso)*: boules de mil à chandelle cuites à la vapeur,,0.3368774482372692,Mill the millet. Add the water and potash and let rest. Form into a ball and steam until cooked.,Moudre le mil. Ajouter l’eau et la potasse et laisser reposer. Former une boule et cuire à la vapeur.
,01_017,"Pearl millet, whole grains (with bran), raw","Mil à chandelle, grain entier (avec son), cru",350.0,,,
,13_024,"Potash, solid","Potasse, solide",3.0,,,
,12_019,"Water, tap",Eau du robinet,1434.0,,,
1,01_166,"Porridge, tô, from maize and cassava flour (Burkina Faso)*","Bouillie, tô, de farine de maïs et de manioc (Burkina Faso)*",,0.5490322580645162,Make a mixture of both flours. Add it gradually to the water while stirring until a very thick paste is obtained.,Mélanger les deux farines. Ajouter progressivement à l’eau tout en remuant jusqu’à obtention d’une pâte très épaisse.
,12_019,"Water, tap",Eau du robinet,4000.0,,,
,02_004,"Cassava, flour, from white cassava","Manioc, farine, de manioc blanc",250.0,,,
,01_081,"Maize, white, refined flour (super), unfortified","Maïs, blanc, farine raffinée (super), non enrichie",400.0,,,
2,01_166,"Porridge, tô, from maize and cassava flour (Burkina Faso)*","Bouillie, tô, de farine de maïs et de manioc (Burkina Faso)*",,0.6010169491525423,Make a mixture of both flours. Add it gradually to the water while stirring until a very thick paste is obtained.,Mélanger les deux farines. Ajouter progressivement à l’eau tout en remuant jusqu’à obtention d’une pâte très épaisse.
,12_019,"Water, tap",Eau du robinet,2500.0,,,
,02_004,"Cassava, flour, from white cassava","Manioc, farine, de manioc blanc",150.0,,,
,01_081,"Maize, white, refined flour (super), unfortified","Maïs, blanc, farine raffinée (super), non enrichie",300.0,,,
1,01_163,"Rice cakes, fried in unfortified vegetable oil*","Galettes de riz, frites dans l’huile végétale non enrichie*",,0.7580228697897455,"Make a rice porridge with the flour and sugar. Let this dough rise. Using a ladle, pour small quantities of the dough into hot oil and cook for at least 3 minutes before turning to cook the other side.","Faire une bouillie de riz avec la farine et le sucre. Laisser lever cette pâte. Avec une louche, verser de petites quantités de pâte dans l’huile très chaude et rissoler pendant au moins 3 minutes avant de retourner pour cuire l’autre côté."
,01_079,"Rice flour, white","Riz, farine, blanche",1049.0,,,
,13_002,"Sugar, white","Sucre, blanc",285.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",94.0,,,
,12_019,"Water, tap",Eau du robinet,1283.0,,,
2,01_163,"Rice cakes, fried in unfortified vegetable oil*","Galettes de riz, frites dans l’huile végétale non enrichie*",,0.7254249815225425,"Make a rice porridge with the flour and sugar. Let this dough rise. Using a ladle, pour small quantities of the dough into hot oil and cook for at least 3 minutes before turning to cook the other side.","Faire une bouillie de riz avec la farine et le sucre. Laisser lever cette pâte. Avec une louche, verser de petites quantités de pâte dans l’huile très chaude et laisser cuire pendant au moins 3 minutes avant de retourner pour cuire l’autre côté."
,01_079,"Rice flour, white","Riz, farine, blanche",1000.0,,,
,13_002,"Sugar, white","Sucre, blanc",246.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",180.0,,,
,12_019,"Water, tap",Eau du robinet,1280.0,,,
1,01_162,Rice with fish and vegetable curry (Burkina Faso)*,Riz au curry avec poisson et légumes (Burkina Faso)*,,0.4611064307778714,"Cook the rice by steaming. Fry the fish and vegetables. Add the water, curry powder, stock cube, salt and crushed garlic, and cook.","Cuire le riz à la vapeur. Faire frire le poisson et les légumes.  Ajouter l’eau, le curry en poudre, le bouillon-cube, le sel et l’ail écrasé, et faire cuire."
,13_015,Salt,Sel,7.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",2.5,,,
,04_003,"Bean, green, raw","Haricot vert, cru",37.0,,,
,13_022,Curry powder,"Curry, en poudre",7.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",38.0,,,
,12_019,"Water, tap",Eau du robinet,1250.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",72.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",238.0,,,
,04_068,"Turnip, raw","Navet, cru",49.0,,,
,04_006,"Carrot, raw","Carotte, crue",40.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",40.0,,,
2,01_162,Rice with fish and vegetable curry (Burkina Faso)*,Riz au curry avec poisson et légumes (Burkina Faso)*,,0.6954022988505747,"Cook the rice by steaming. Fry the fish and vegetables. Add the water, curry powder, stock cube, salt and crushed garlic, and cook.","Cuire le riz à la vapeur. Faire frire le poisson et les légumes. Ajouter l’eau, le curry en poudre, le bouillon-cube, le sel et l’ail écrasé, et faire cuire."
,13_015,Salt,Sel,6.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_003,"Bean, green, raw","Haricot vert, cru",30.0,,,
,13_022,Curry powder,"Curry, en poudre",9.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",100.0,,,
,12_019,"Water, tap",Eau du robinet,1392.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",97.0,,,
,01_036,"Rice, white, polished, raw","Riz, blanc, poli, cru",495.0,,,
,04_068,"Turnip, raw","Navet, cru",40.0,,,
,04_006,"Carrot, raw","Carotte, crue",58.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",30.0,,,
1,01_169,Wèsln né souma (Burkina Faso)*: couscous from yellow maize with bambara groundnuts,Wèsln né souma (Burkina Faso)*: couscous de maïs jaune avec pois bambara,,0.31761377033718463,"Boil the bambara groundnut with the potash and salt until cooked, about two hours. Steam the maize couscous.",Faire bouillir les pois bambara avec la potasse et le sel environ pendant deux heures jusqu’à ce qu’ils soient cuits. Cuire à la vapeur le couscous de maïs.
,03_001,"Bambara groundnut, dry, raw","Pois bambara, sec, cru",290.0,,,
,01_055,"Maize, yellow, grit, degermed, raw","Maïs, jaune, gruau, dégermé, cru",177.0,,,
,13_015,Salt,Sel,3.0,,,
,12_019,"Water, tap",Eau du robinet,3771.0,,,
2,01_169,Wèsln né souma (Burkina Faso)*: couscous from yellow maize with bambara groundnuts,Wèsln né souma (Burkina Faso)*: couscous de maïs jaune avec pois bambara,,0.35048741781908865,"Boil the bambara groundnut with the potash and salt until cooked, about two hours. Steam the maize couscous.",Faire bouillir les pois bambara avec la potasse et le sel environ pendant deux heures jusqu’à ce qu’ils soient cuits. Cuire à la vapeur le couscous de maïs.
,03_001,"Bambara groundnut, dry, raw","Pois bambara, sec, cru",315.0,,,
,01_055,"Maize, yellow, grit, degermed, raw","Maïs, jaune, gruau, dégermé, cru",220.0,,,
,13_015,Salt,Sel,4.0,,,
,12_019,"Water, tap",Eau du robinet,3872.0,,,
"Starchy roots, tubers and their products/Racines amylacées, tubercules et produits dérivés",,,,,,,
1,02_093,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou of cassava and unripe plantain,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou de manioc et banane plantain verte,,0.6260223048327137,"Boil the cassava and plantain separately until cooked, then drain. Pound the cassava and plantain separately to obtain two pastes. Mix the pastes by pounding them together and add water gradually, until a dense and homogeneous paste forms. Shape into balls.","Faire bouillir le manioc et la banane plantain séparément jusqu’à ce qu’ils soient cuits, puis égoutter. Broyer le manioc et la banane plantain séparément pour obtenir deux pâtes. Mélangez les pâtes en les broyant ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène. Formez des boules."
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",220.0,,,
,02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru",491.0,,,
,12_019,"Water, tap",Eau du robinet,634.0,,,
2,02_093,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou of cassava and unripe plantain,Banakou né barâand kanss saagbo (Burkina Faso)*: foutou de manioc et banane plantain verte,,0.43754565376187,"Boil the cassava and plantain separately until cooked, then drain. Pound the cassava and plantain separately to obtain two pastes. Mix the pastes by pounding them together and add water gradually, until a dense and homogeneous paste forms. Shape into balls.","Faire bouillir le manioc et la banane plantain séparément jusqu’à ce qu’ils soient cuits, puis égoutter. Broyer le manioc et la banane plantain séparément pour obtenir deux pâtes. Mélangez les pâtes en les broyant ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène. Former des boules."
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",187.0,,,
,02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru",248.0,,,
,12_019,"Water, tap",Eau du robinet,934.0,,,
1,02_091,Banakou né barâand moomd saagbo (Burkina Faso)*: foutou of cassava and ripe plantain,Banakou né barâand moomd saagbo (Burkina Faso)*: foutou de manioc et banane plantain mûre,,0.5967413441955194,"Boil the cassava for 10 minutes, add the plantain and cook. Once cooked, drain. Pound the cassava and plantain separately to obtain two pastes. Mix the pastes by pounding them together and add water gradually, until a dense and homogeneous paste forms. Shape into balls.","Faire bouillir le manioc pendant 10 minutes, ajouter la banane plantain et laisser cuire. Une fois cuit, égoutter. Broyer le manioc et le plantain séparément pour obtenir deux pâtes. Mélangez les pâtes en les broyant ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène Former des boules."
,02_042,"Plantain, ripe, ivory flesh, raw","Banane plantain, mûre, chair ivoire, crue",89.0,,,
,02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru",386.0,,,
,12_019,"Water, tap",Eau du robinet,507.0,,,
1,02_092,Banakou né kou saagbo (Burkina Faso)*: foutou of yam and cassava,Banakou né kou saagbo (Burkina Faso)*: foutou d’igname et manioc,,0.5781990521327014,"Cut the cassava into pieces and boil for 10 minutes, add the yam tuber and cook. Once cooked, drain. Pound yam and cassava separately to obtain two pastes. Mix the pastes by pounding them together and add water gradually, until a dense and homogeneous paste forms. Shape into balls.","Couper en morceaux le manioc et le faire bouillir pendant 10 minutes, ajouter l’igname et faire cuire. Une fois cuit, égoutter. Broyer l’igname et le manioc séparément pour obtenir deux pâtes. Mélangez les pâtes en les broyant ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène Former des boules."
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",322.0,,,
,02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru",167.0,,,
,12_019,"Water, tap",Eau du robinet,566.0,,,
2,02_092,Banakou né kou saagbo (Burkina Faso)*: foutou of yam and cassava,Banakou né kou saagbo (Burkina Faso)*: foutou d’igname et manioc,,0.6162790697674418,"Cut the cassava into pieces and boil for 10 minutes, add the yam tuber and cook. Once cooked, drain. Pound yam and cassava separately to obtain two pastes. Mix the pastes by pounding them together and add water gradually, until a dense and homogeneous paste forms. Shape into balls.","Couper en morceaux le manioc et le faire bouillir pendant 10 minutes, ajouter l’igname et faire cuire. Une fois cuit, égoutter. Broyer l’igname et le manioc séparément pour obtenir deux pâtes. Mélangez les pâtes en les broyant ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène. Former des boules."
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",336.0,,,
,02_001,"Cassava, tuber, white flesh, raw","Manioc, tubercule, chair blanche, cru",146.0,,,
,12_019,"Water, tap",Eau du robinet,550.0,,,
1,02_086,Cou nin zindo (Burkina Faso)*: yam and vegetable stew,Cou nin zindo (Burkina Faso)*: ragoût d’igname et légumes,,0.6635113018091742,Fry the yam and other ingredients. After a while add water and simmer until cooked.,"Faire revenir l’igname et les autres ingrédients. Après quelques instants, ajouter l’eau et laisser mijoter jusqu’à cuisson."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",30.0,,,
,13_015,Salt,Sel,3.35,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",418.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",43.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",29.0,,,
,04_006,"Carrot, raw","Carotte, crue",41.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",47.0,,,
2,02_086,Cou nin zindo (Burkina Faso)*: yam and vegetable stew,Cou nin zindo (Burkina Faso)*: ragoût d’igname et légumes,,0.6145203111495247,Fry the yam and other ingredients. After a while add water and simmer until cooked.,"Faire frire l’igname et les autres ingrédients. Après quelques instants, ajouter l’eau et laisser mijoter jusqu’à cuisson."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",30.0,,,
,13_015,Salt,Sel,3.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",3.0,,,
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",422.0,,,
,12_019,"Water, tap",Eau du robinet,521.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",63.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",23.0,,,
,04_006,"Carrot, raw","Carotte, crue",41.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",46.0,,,
1,02_081,"French fries, deep fried in unfortified vegetable oil*","Pommes de terre, frites dans l’huile végétale non enrichie*",,0.5184426229508197,Fry the sliced potatoes and add salt.,Faire frire les pommes de terre coupées en tranches et ajouter du sel.
,02_009,"Potato, raw","Pomme de terre, crue",456.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",31.0,,,
,13_015,Salt,Sel,1.0,,,
2,02_081,"French fries, deep fried in unfortified vegetable oil*","Pommes de terre, frites dans l’huile végétale non enrichie*",,0.5421686746987951,Fry the sliced potatoes and add salt.,Faire frire les pommes de terre coupées en tranches et ajouter du sel.
,02_009,"Potato, raw","Pomme de terre, crue",466.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",31.0,,,
,13_015,Salt,Sel,1.0,,,
3,02_081,"French fries, deep fried in unfortified vegetable oil*","Pommes de terre, frites dans l’huile végétale non enrichie*",,0.6153846153846154,Fry the sliced potatoes and add salt.,Faire frire les pommes de terre coupées en tranches et ajouter du sel.
,02_009,"Potato, raw","Pomme de terre, crue",307.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",17.0,,,
,13_015,Salt,Sel,1.0,,,
4,02_081,"French fries, deep fried in unfortified vegetable oil*","Pommes de terre, frites dans l’huile végétale non enrichie*",,0.5236768802228412,Fry the sliced potatoes and add salt.,Faire frire les pommes de terre coupées en tranches et ajouter du sel.
,02_009,"Potato, raw","Pomme de terre, crue",337.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",21.0,,,
,13_015,Salt,Sel,1.0,,,
5,02_081,"French fries, deep fried in unfortified vegetable oil*","Pommes de terre, frites dans l’huile végétale non enrichie*",,0.49896907216494846,Fry the sliced potatoes and add salt.,Faire frire les pommes de terre coupées en tranches et ajouter du sel.
,02_009,"Potato, raw","Pomme de terre, crue",452.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",32.0,,,
,13_015,Salt,Sel,1.0,,,
6,02_081,"French fries, deep fried in unfortified vegetable oil*","Pommes de terre, frites dans l’huile végétale non enrichie*",,0.5346938775510204,Fry the sliced potatoes and add salt.,Faire frire les pommes de terre coupées en tranches et ajouter du sel.
,02_009,"Potato, raw","Pomme de terre, crue",457.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",32.0,,,
,13_015,Salt,Sel,1.0,,,
1,02_089,Fufu of ripe and unripe plantain with red palm oil (Burkina Faso)*,Foufou de bananes plantain mûres et vertes avec huile de palme rouge (Burkina Faso)*,,0.6666666666666666,Boil the green and ripe plantain separately until cooked. Squeeze to remove the water. Pound separately to obtain two dense pastes. Add to each paste the red palm oil and salt and continue to pound to obtain a homogeneous paste. Mix the two pastes. Shape into balls.,Faire bouillir séparément les bananes plantains vertes et mûres jusqu’à ce qu’elles soient cuites. Presser pour extraire l’eau. Pétrir séparément pour obtenir deux pâtes denses. Ajouter à chaque pâte l’huile de palme rouge et le sel et continuer à pétrir jusqu’à obtenir une pâte homogène. Mélanger les deux pâtes. Former des boules.
,11_004,"Palm oil, red","Huile de palme, rouge",50.0,,,
,02_042,"Plantain, ripe, ivory flesh, raw","Banane plantain, mûre, chair ivoire, crue",102.0,,,
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",90.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,110.0,,,
2,02_089,Fufu of ripe and unripe plantain with red palm oil (Burkina Faso)*,Foufou de bananes plantain mûres et vertes avec huile de palme rouge (Burkina Faso)*,,0.6422018348623854,Boil the green and ripe plantain separately until cooked. Squeeze to remove the water. Pound separately to obtain two dense pastes. Add to each paste the red palm oil and salt and continue to pound to obtain a homogeneous paste. Mix the two pastes. Shape into balls.,Faire bouillir séparément les bananes plantains vertes et mûres jusqu’à ce qu’elles soient cuites. Presser pour extraire l’eau. Pétrir séparément pour obtenir deux pâtes denses. Ajouter à chaque pâte l’huile de palme rouge et le sel et continuer à pétrir jusqu’à obtenir une pâte homogène. Mélanger les deux pâtes. Former des boules.
,11_004,"Palm oil, red","Huile de palme, rouge",50.0,,,
,02_042,"Plantain, ripe, ivory flesh, raw","Banane plantain, mûre, chair ivoire, crue",85.0,,,
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",80.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,110.0,,,
1,02_088,Fufu of ripe plantain with red palm oil (Burkina Faso)*,Foufou de bananes plantain mûres avec huile de palme rouge (Burkina Faso)*,,0.4119170984455959,Boil the washed plantain pieces until cooked. Squeeze to remove the water. Pound to obtain a dense paste. Add the red palm oil and salt and continue to pound to obtain a homogeneous paste. Shape into balls.,Faire bouillir les morceaux de banane plantain lavés jusqu’à ce qu’ils soient cuits. Presser pour extraire l’eau. Pétrir pour obtenir une pâte dense. Ajouter l’huile de palme rouge et le sel et continuer à Pétrir jusqu’à obtenir une pâte homogène. Former des boules.
,11_004,"Palm oil, red","Huile de palme, rouge",10.0,,,
,02_042,"Plantain, ripe, ivory flesh, raw","Banane plantain, mûre, chair ivoire, crue",138.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,236.0,,,
1,02_096,Fufu of unripe plantain with red palm oil (Burkina Faso)*,Foufou de bananes plantain vertes avec huile de palme rouge (Burkina Faso)*,,0.6744186046511628,Boil the washed plantain pieces until cooked. Squeeze to remove the water. Pound to obtain a dense paste. Add the red palm oil and salt and continue to pound to obtain a homogeneous paste. Shape into balls.,Faire bouillir les morceaux de banane plantain lavés jusqu’à ce qu’ils soient cuits. Presser pour extraire l’eau. Pétrir pour obtenir une pâte dense. Ajouter l’huile de palme rouge et le sel et continuer à Pétrir jusqu’à obtenir une pâte homogène. Former des boules.
,11_004,"Palm oil, red","Huile de palme, rouge",10.0,,,
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",136.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,110.0,,,
2,02_096,Fufu of unripe plantain with red palm oil (Burkina Faso)*,Foufou de bananes plantain vertes avec huile de palme rouge (Burkina Faso)*,,0.5851528384279476,Boil the washed plantain pieces until cooked. Squeeze to remove the water. Pound to obtain a dense paste. Add the red palm oil and salt and continue to pound to obtain a homogeneous paste. Shape into balls.,Faire bouillir les morceaux de banane plantain lavés jusqu’à ce qu’ils soient cuits. Presser pour extraire l’eau. pétrir pour obtenir une pâte dense. Ajouter l’huile de palme rouge et le sel et continuer à pétrir jusqu’à obtenir une pâte homogène. Former des boules.
,11_004,"Palm oil, red","Huile de palme, rouge",10.0,,,
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",107.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,110.0,,,
1,02_099,Fufu of unripe plantain with shea butter (Burkina Faso)*,Foufou de bananes plantain vertes avec beurre de karité (Burkina Faso)*,,0.34,Boil the washed plantain pieces until cooked. Squeeze to remove the water. Pound to obtain a dense paste. Add the shea butter and salt and continue to pound to obtain a homogeneous paste. Shape into balls.,Faire bouillir les morceaux de banane plantain lavés jusqu’à ce qu’ils soient cuits. Presser pour extraire l’eau. Pétrir pour obtenir une pâte dense. Ajouter le beurre de karité et le sel et continuer à pétrir jusqu’à obtenir une pâte homogène. Former des boules.
,11_008,"Shea butter, white","Beurre de karité, blanc",15.0,,,
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",117.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,366.0,,,
2,02_099,Fufu of unripe plantain with shea butter (Burkina Faso)*,Foufou de bananes plantain vertes avec beurre de karité (Burkina Faso)*,,0.3769740193581253,Boil the washed plantain pieces until cooked. Squeeze to remove the water. Pound to obtain a dense paste. Add the shea butter and salt and continue to pound to obtain a homogeneous paste. Shape into balls.,Faire bouillir les morceaux de banane plantain lavés jusqu’à ce qu’ils soient cuits. Presser pour extraire l’eau. Pétrir pour obtenir une pâte dense. Ajouter le beurre de karité et le sel et continuer à pétrir jusqu’à obtenir une pâte homogène. Former des boules.
,11_008,"Shea butter, white","Beurre de karité, blanc",12.0,,,
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",107.0,,,
,13_015,Salt,Sel,1.6,,,
,12_019,"Water, tap",Eau du robinet,272.0,,,
1,02_094,Kou né barâand kanss saagbo (Burkina Faso)*: foutou of yam and unripe plantain,Kou né barâand kanss saagbo (Burkina Faso)*: foutou d´igname et banane plantain verte,,0.6173044925124792,"Boil the yam and banana until cooked, then drain. Pound the yam and banana separately to obtain two pastes. Next, pound them together and add water until a dense and homogeneous paste forms. Shape into balls.","Faire bouillir l’igname et la banane plantain jusqu’à ce qu’ils soient cuits, puis égoutter. Broyer l’igname et la banane plantain séparément pour obtenir deux pâtes. Ensuite, les broyer ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène. Former des boules."
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",165.0,,,
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",408.0,,,
,12_019,"Water, tap",Eau du robinet,629.0,,,
2,02_094,Kou né barâand kanss saagbo (Burkina Faso)*: foutou of yam and unripe plantain,Kou né barâand kanss saagbo (Burkina Faso)*: foutou d´igname et banane plantain verte,,0.5652866242038217,"Boil the yam and bananas until cooked, then drain. Pound the yam and banana separately to obtain two pastes. Next, pound them together and add water until a dense and homogeneous paste forms. Shape into balls.","Faire bouillir l’igname et la banane plantain jusqu’à ce qu’ils soient cuits, puis égoutter. Broyer l’igname et la banane plantain séparément pour obtenir deux pâtes. Ensuite, les broyer ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène. Former des boules."
,02_045,"Plantain, unripe, pale flesh, raw","Banane plantain, verte, chair claire, crue",158.0,,,
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",358.0,,,
,12_019,"Water, tap",Eau du robinet,740.0,,,
1,02_098,Kou né barâand moomd saagbo (Burkina Faso)*: foutou of yam with ripe plantain,Kou né barâand moomd saagbo (Burkina Faso)*: foutou d´igname avec banane plantain mûre,,0.712,"Boil the pieces of yam for 10 minutes, add the plantain and cook. Once cooked, squeeze to remove the water. Pound the yam and plantain separately to obtain two pastes. Next, pound them together and add water gradually, until a dense and homogeneous paste forms. Shape into balls.","Faire bouillir les morceaux d’igname pendant 10 minutes, ajouter la banane plantain et laisser cuire. Une fois cuit, presser pour extraire l’eau. Pétrir l’igname et la banane plantain séparément pour obtenir deux pâtes. Ensuite, les pétrir ensemble et ajouter progressivement de l’eau jusqu’à obtention d’une pâte dense et homogène. Former des boules."
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",470.0,,,
,02_042,"Plantain, ripe, ivory flesh, raw","Banane plantain, mûre, chair ivoire, crue",87.0,,,
,12_019,"Water, tap",Eau du robinet,318.0,,,
1,02_090,Kou né kamoag fufu (Burkina Faso)*: fufu of yam with shea butter,Kou né kamoag foufou (Burkina Faso)*: foufou d´igname au beurre de karité,,0.6694444444444444,Boil the washed yam pieces until cooked. Squeeze to remove the water. Pound to obtain a dense paste. Add the shea butter and salt and continue pounding to obtain a smooth paste. Shape into balls.,Faire bouillir les morceaux d’igname lavés jusqu’à ce qu’ils soient cuits. Presser pour extraire l’eau.  Pétrir pour obtenir une pâte dense. Ajouter le beurre de karité et le sel et continuer à pétrir jusqu’à obtenir une pâte homogène. Former des boules.
,02_019,"Yam, tuber, pale, raw","Igname, tubercule, chair pâle, cru",343.0,,,
,11_008,"Shea butter, white","Beurre de karité, blanc",35.0,,,
,13_015,Salt,Sel,2.0,,,
,12_019,"Water, tap",Eau du robinet,340.0,,,
